Source,Source_Type,Target,Target_Type,Hypothesis_Class,Score,Bridge_Score,Common_Neighbors,Distinct_Bridge_Types,Adamic_Adar,Jaccard,Preferential_Attachment,Degree_Source,Degree_Target,Bridge_Nodes,Bridge_Types,Training_Graph,Candidate_Status,Embedding_Source_Target_Similarity,Embedding_Bridge_Mean_Similarity,Node2Vec_Integrated_Score,ML_Probability,Final_AI_Rank_Score
regulation,BIOLOGICAL_PROCESS,sxtu,SXT_GENE,gene_process_association,108.45551436829535,16.0,14,5,3.4070024671665524,0.2641509433962264,966,46,21,saxitoxin; cyanobacteria; cyanobacterial; paralytic_shellfish_toxins; dinoflagellate; gymnodinium; saxitoxin_biosynthesis; dinoflagellates; paralytic_shellfish_poisoning; gymnodinium_catenatum; sxta; expression; phylogenetic; biosynthesis,TOXIN; CYANO_TAXON; CYANO_TAXON; TOXIN; DINO_TAXON; DINO_TAXON; BIOLOGICAL_PROCESS; DINO_TAXON; TOXIN; DINO_TAXON; SXT_GENE; BIOLOGICAL_PROCESS; BIOLOGICAL_PROCESS; BIOLOGICAL_PROCESS,dino_pre2016,unvalidated_candidate,,,,,
alexandrium_fundyense,DINO_TAXON,sxtu,SXT_GENE,taxon_gene_association,108.3140049343331,16.0,14,5,3.4070024671665524,0.25,1029,49,21,saxitoxin; cyanobacteria; cyanobacterial; paralytic_shellfish_toxins; dinoflagellate; gymnodinium; saxitoxin_biosynthesis; dinoflagellates; paralytic_shellfish_poisoning; gymnodinium_catenatum; sxta; expression; phylogenetic; biosynthesis,TOXIN; CYANO_TAXON; CYANO_TAXON; TOXIN; DINO_TAXON; DINO_TAXON; BIOLOGICAL_PROCESS; DINO_TAXON; TOXIN; DINO_TAXON; SXT_GENE; BIOLOGICAL_PROCESS; BIOLOGICAL_PROCESS; BIOLOGICAL_PROCESS,dino_pre2016,unvalidated_candidate,,,,,
nutrient,ENV_FACTOR,sxtu,SXT_GENE,environment_gene_regulation,108.22779803778135,16.0,14,5,3.4070024671665524,0.2413793103448276,1071,51,21,saxitoxin; cyanobacteria; cyanobacterial; paralytic_shellfish_toxins; dinoflagellate; gymnodinium; saxitoxin_biosynthesis; dinoflagellates; paralytic_shellfish_poisoning; gymnodinium_catenatum; sxta; expression; phylogenetic; biosynthesis,TOXIN; CYANO_TAXON; CYANO_TAXON; TOXIN; DINO_TAXON; DINO_TAXON; BIOLOGICAL_PROCESS; DINO_TAXON; TOXIN; DINO_TAXON; SXT_GENE; BIOLOGICAL_PROCESS; BIOLOGICAL_PROCESS; BIOLOGICAL_PROCESS,dino_pre2016,unvalidated_candidate,,,,,
aphanizomenon,CYANO_TAXON,sxtb,SXT_GENE,cyano_gene_transfer_signal,107.68663297842195,16.0,12,6,2.907832618243235,0.3870967741935484,442,26,17,cyanobacterial; cyanobacteria; dinoflagellate; dinoflagellates; saxitoxin; paralytic_shellfish_toxins; evolution; bloom; toxin_biosynthesis; paralytic_shellfish_poisoning; sxta; biosynthesis,CYANO_TAXON; CYANO_TAXON; DINO_TAXON; DINO_TAXON; TOXIN; TOXIN; BIOLOGICAL_PROCESS; ENV_FACTOR; BIOLOGICAL_PROCESS; TOXIN; SXT_GENE; BIOLOGICAL_PROCESS,dino_pre2016,unvalidated_candidate,,,,,
alexandrium_tamiyavanichii,DINO_TAXON,lyngbya,CYANO_TAXON,cross_taxa_association,107.47400748844316,16.0,12,6,2.862003744221579,0.375,483,23,21,dinoflagellates; saxitoxin; hplc; cyanobacteria; paralytic_shellfish_toxins; pyrodinium; alexandrium; toxicity; toxin_production; paralytic_shellfish_poisoning; sxta; biosynthesis,DINO_TAXON; TOXIN; DETECTION_METHOD; CYANO_TAXON; TOXIN; DINO_TAXON; DINO_TAXON; BIOLOGICAL_PROCESS; BIOLOGICAL_PROCESS; TOXIN; SXT_GENE; BIOLOGICAL_PROCESS,dino_pre2016,unvalidated_candidate,,,,,
harmful_algal_bloom,ENV_FACTOR,sxtu,SXT_GENE,environment_gene_regulation,106.2519148552639,14.0,13,6,3.1486847003592238,0.2954545454545454,756,36,21,saxitoxin; cyanobacterial; cyanobacteria; paralytic_shellfish_toxins; dinoflagellate; mass_spectrometry; gymnodinium; paralytic_shellfish_poisoning; gymnodinium_catenatum; sxta; expression; dinoflagellates; biosynthesis,TOXIN; CYANO_TAXON; CYANO_TAXON; TOXIN; DINO_TAXON; DETECTION_METHOD; DINO_TAXON; TOXIN; DINO_TAXON; SXT_GENE; BIOLOGICAL_PROCESS; DINO_TAXON; BIOLOGICAL_PROCESS,dino_pre2016,unvalidated_candidate,,,,,
paralytic_shellfish_toxins,TOXIN,polyketide_synthase,BIOLOGICAL_PROCESS,process_toxin_association,106.1206363453322,17.0,13,5,3.1575403948883136,0.1805555555555555,936,72,13,saxitoxin; dinoflagellate; phylogenetic; dinoflagellates; alexandrium_fundyense; alexandrium; toxicity; gymnodinium; light; gymnodinium_catenatum; sxta; expression; biosynthesis,TOXIN; DINO_TAXON; BIOLOGICAL_PROCESS; DINO_TAXON; DINO_TAXON; DINO_TAXON; BIOLOGICAL_PROCESS; DINO_TAXON; ENV_FACTOR; DINO_TAXON; SXT_GENE; BIOLOGICAL_PROCESS; BIOLOGICAL_PROCESS,dino_pre2016,unvalidated_candidate,,,,,
paralytic_shellfish_poisoning,TOXIN,polyketide_synthase,BIOLOGICAL_PROCESS,process_toxin_association,105.9817474564433,17.0,13,5,3.1575403948883136,0.1666666666666666,1014,78,13,saxitoxin; dinoflagellate; phylogenetic; dinoflagellates; alexandrium_fundyense; alexandrium; toxicity; gymnodinium; light; gymnodinium_catenatum; sxta; expression; biosynthesis,TOXIN; DINO_TAXON; BIOLOGICAL_PROCESS; DINO_TAXON; DINO_TAXON; DINO_TAXON; BIOLOGICAL_PROCESS; DINO_TAXON; ENV_FACTOR; DINO_TAXON; SXT_GENE; BIOLOGICAL_PROCESS; BIOLOGICAL_PROCESS,dino_pre2016,unvalidated_candidate,,,,,
gtx,TOXIN,environmental_stress,ENV_FACTOR,environment_toxin_association,105.578331603907,14.0,14,5,3.494294007081696,0.358974358974359,546,39,14,saxitoxin; gonyautoxin; dinoflagellate; salinity; toxicity; alexandrium; alexandrium_tamarense; toxin_production; neosaxitoxin; nitrate; light; paralytic_shellfish_poisoning; hplc; nitrogen,TOXIN; TOXIN; DINO_TAXON; ENV_FACTOR; BIOLOGICAL_PROCESS; DINO_TAXON; DINO_TAXON; BIOLOGICAL_PROCESS; TOXIN; ENV_FACTOR; ENV_FACTOR; TOXIN; DETECTION_METHOD; ENV_FACTOR,dino_pre2016,unvalidated_candidate,,,,,
neosaxitoxin,TOXIN,nitrogen_limitation,ENV_FACTOR,environment_toxin_association,105.50946790672288,16.0,13,5,3.129733953361444,0.325,612,36,17,alexandrium; dinoflagellate; nutrient; cyanobacteria; paralytic_shellfish_toxins; alexandrium_fundyense; toxicity; alexandrium_tamarense; bloom; paralytic_shellfish_poisoning; nitrogen; dinoflagellates; biosynthesis,DINO_TAXON; DINO_TAXON; ENV_FACTOR; CYANO_TAXON; TOXIN; DINO_TAXON; BIOLOGICAL_PROCESS; DINO_TAXON; ENV_FACTOR; TOXIN; ENV_FACTOR; DINO_TAXON; BIOLOGICAL_PROCESS,dino_pre2016,unvalidated_candidate,,,,,
