dataset,source,source_type,target,target_type,relation,weight,support_documents
dino_pre2016,gymnodinium,DINO_TAXON,paralytic_shellfish_poisoning,TOXIN,taxon_associated_with_toxin,33,STX_DOC_000009;STX_DOC_000035;STX_DOC_000036;STX_DOC_000060;STX_DOC_000096;STX_DOC_000116;STX_DOC_000127;STX_DOC_000146;STX_DOC_000151;STX_DOC_000188;STX_DOC_000248;STX_DOC_000250;STX_DOC_000286;STX_DOC_000335;STX_DOC_000351;STX_DOC_000375;STX_DOC_000393;STX_DOC_000428;STX_DOC_000507;STX_DOC_000509;STX_DOC_000517;STX_DOC_000520;STX_DOC_000661;STX_DOC_000662;STX_DOC_000764;STX_DOC_000770;STX_DOC_000847;STX_DOC_000853;STX_DOC_000875;STX_DOC_001097;STX_DOC_001101;STX_DOC_001283;STX_DOC_001337
dino_pre2016,paralytic_shellfish_toxins,TOXIN,stx,TOXIN,semantic_cooccurrence,32,STX_DOC_000007;STX_DOC_000009;STX_DOC_000029;STX_DOC_000030;STX_DOC_000045;STX_DOC_000050;STX_DOC_000051;STX_DOC_000080;STX_DOC_000083;STX_DOC_000099;STX_DOC_000116;STX_DOC_000119;STX_DOC_000127;STX_DOC_000144;STX_DOC_000148;STX_DOC_000151;STX_DOC_000167;STX_DOC_000169;STX_DOC_000195;STX_DOC_000196;STX_DOC_000215;STX_DOC_000218;STX_DOC_000219;STX_DOC_000246;STX_DOC_000252;STX_DOC_000253;STX_DOC_000320;STX_DOC_000376;STX_DOC_000566;STX_DOC_000570;STX_DOC_000776;STX_DOC_000957
dino_pre2016,bloom,ENV_FACTOR,paralytic_shellfish_toxins,TOXIN,environment_associated_with_toxin,32,STX_DOC_000006;STX_DOC_000078;STX_DOC_000141;STX_DOC_000167;STX_DOC_000169;STX_DOC_000196;STX_DOC_000215;STX_DOC_000246;STX_DOC_000282;STX_DOC_000287;STX_DOC_000288;STX_DOC_000289;STX_DOC_000321;STX_DOC_000335;STX_DOC_000428;STX_DOC_000505;STX_DOC_000511;STX_DOC_000581;STX_DOC_000668;STX_DOC_000677;STX_DOC_000761;STX_DOC_000776;STX_DOC_000833;STX_DOC_000835;STX_DOC_000933;STX_DOC_000949;STX_DOC_000954;STX_DOC_000983;STX_DOC_001162;STX_DOC_001173;STX_DOC_001175;STX_DOC_001402
dino_pre2016,mouse_bioassay,DETECTION_METHOD,saxitoxin,TOXIN,method_associated_with_toxin,32,STX_DOC_000081;STX_DOC_000096;STX_DOC_000127;STX_DOC_000151;STX_DOC_000195;STX_DOC_000218;STX_DOC_000250;STX_DOC_000290;STX_DOC_000292;STX_DOC_000350;STX_DOC_000569;STX_DOC_000570;STX_DOC_000581;STX_DOC_000588;STX_DOC_000589;STX_DOC_000597;STX_DOC_000670;STX_DOC_000676;STX_DOC_000765;STX_DOC_000770;STX_DOC_000776;STX_DOC_000844;STX_DOC_000848;STX_DOC_000850;STX_DOC_000860;STX_DOC_000882;STX_DOC_000964;STX_DOC_000973;STX_DOC_000975;STX_DOC_001211;STX_DOC_001501;STX_DOC_001737
dino_pre2016,hplc,DETECTION_METHOD,stx,TOXIN,method_associated_with_toxin,32,STX_DOC_000035;STX_DOC_000036;STX_DOC_000051;STX_DOC_000062;STX_DOC_000071;STX_DOC_000080;STX_DOC_000081;STX_DOC_000083;STX_DOC_000095;STX_DOC_000116;STX_DOC_000142;STX_DOC_000144;STX_DOC_000151;STX_DOC_000169;STX_DOC_000193;STX_DOC_000194;STX_DOC_000195;STX_DOC_000196;STX_DOC_000211;STX_DOC_000290;STX_DOC_000292;STX_DOC_000347;STX_DOC_000375;STX_DOC_000390;STX_DOC_000570;STX_DOC_000655;STX_DOC_000671;STX_DOC_000676;STX_DOC_000848;STX_DOC_000868;STX_DOC_000871;STX_DOC_001171
dino_pre2016,neosaxitoxin,TOXIN,saxitoxin,TOXIN,semantic_cooccurrence,32,STX_DOC_000029;STX_DOC_000030;STX_DOC_000045;STX_DOC_000051;STX_DOC_000054;STX_DOC_000055;STX_DOC_000060;STX_DOC_000062;STX_DOC_000073;STX_DOC_000080;STX_DOC_000096;STX_DOC_000120;STX_DOC_000129;STX_DOC_000152;STX_DOC_000153;STX_DOC_000187;STX_DOC_000214;STX_DOC_000222;STX_DOC_000248;STX_DOC_000331;STX_DOC_000350;STX_DOC_000353;STX_DOC_000392;STX_DOC_000394;STX_DOC_000395;STX_DOC_000560;STX_DOC_000603;STX_DOC_000670;STX_DOC_000859;STX_DOC_000879;STX_DOC_001196;STX_DOC_001212
dino_pre2016,biosynthesis,BIOLOGICAL_PROCESS,dinoflagellate,DINO_TAXON,semantic_cooccurrence,31,STX_DOC_000006;STX_DOC_000022;STX_DOC_000024;STX_DOC_000028;STX_DOC_000040;STX_DOC_000052;STX_DOC_000061;STX_DOC_000070;STX_DOC_000071;STX_DOC_000072;STX_DOC_000074;STX_DOC_000093;STX_DOC_000113;STX_DOC_000131;STX_DOC_000184;STX_DOC_000251;STX_DOC_000275;STX_DOC_000300;STX_DOC_000322;STX_DOC_000329;STX_DOC_000336;STX_DOC_000379;STX_DOC_000380;STX_DOC_000497;STX_DOC_000577;STX_DOC_000603;STX_DOC_000756;STX_DOC_000831;STX_DOC_000971;STX_DOC_000983;STX_DOC_001071
dino_pre2016,alexandrium,DINO_TAXON,alexandrium fundyense,DINO_TAXON,semantic_cooccurrence,31,STX_DOC_000052;STX_DOC_000074;STX_DOC_000093;STX_DOC_000098;STX_DOC_000129;STX_DOC_000186;STX_DOC_000196;STX_DOC_000254;STX_DOC_000300;STX_DOC_000391;STX_DOC_000444;STX_DOC_000484;STX_DOC_000485;STX_DOC_000487;STX_DOC_000498;STX_DOC_000508;STX_DOC_000516;STX_DOC_000561;STX_DOC_000565;STX_DOC_000831;STX_DOC_000937;STX_DOC_000959;STX_DOC_000961;STX_DOC_000979;STX_DOC_001046;STX_DOC_001047;STX_DOC_001049;STX_DOC_001086;STX_DOC_001175;STX_DOC_001736;STX_DOC_001749
dino_pre2016,alexandrium minutum,DINO_TAXON,paralytic_shellfish_poisoning,TOXIN,taxon_associated_with_toxin,31,STX_DOC_000024;STX_DOC_000081;STX_DOC_000147;STX_DOC_000149;STX_DOC_000150;STX_DOC_000169;STX_DOC_000188;STX_DOC_000192;STX_DOC_000213;STX_DOC_000250;STX_DOC_000279;STX_DOC_000289;STX_DOC_000293;STX_DOC_000329;STX_DOC_000351;STX_DOC_000385;STX_DOC_000435;STX_DOC_000437;STX_DOC_000497;STX_DOC_000510;STX_DOC_000518;STX_DOC_000568;STX_DOC_000576;STX_DOC_000659;STX_DOC_000759;STX_DOC_000872;STX_DOC_000940;STX_DOC_000941;STX_DOC_000974;STX_DOC_001077;STX_DOC_001089
dino_pre2016,alexandrium,DINO_TAXON,nutrient,ENV_FACTOR,semantic_cooccurrence,30,STX_DOC_000024;STX_DOC_000063;STX_DOC_000074;STX_DOC_000078;STX_DOC_000098;STX_DOC_000113;STX_DOC_000117;STX_DOC_000148;STX_DOC_000165;STX_DOC_000254;STX_DOC_000285;STX_DOC_000321;STX_DOC_000336;STX_DOC_000435;STX_DOC_000436;STX_DOC_000444;STX_DOC_000561;STX_DOC_000567;STX_DOC_000583;STX_DOC_000584;STX_DOC_000657;STX_DOC_000759;STX_DOC_000841;STX_DOC_000864;STX_DOC_000872;STX_DOC_000974;STX_DOC_001736;STX_DOC_001742;STX_DOC_001744;STX_DOC_001749
