source,source_type,relation,target,target_type,weight,support_documents,first_year,last_year,dataset
alexandrium,DINO_TAXON,semantic_cooccurrence,dolichospermum,CYANO_TAXON,2,STX_DOC_000037;STX_DOC_000104,2022.0,2024.0,dino_all
alexandrium,DINO_TAXON,semantic_cooccurrence,elisa,DETECTION_METHOD,5,STX_DOC_000195;STX_DOC_000287;STX_DOC_000288;STX_DOC_001114;STX_DOC_001148,1991.0,2024.0,dino_all
alexandrium,DINO_TAXON,semantic_cooccurrence,environmental_stress,ENV_FACTOR,1,STX_DOC_000062,1999.0,1999.0,dino_all
alexandrium,DINO_TAXON,semantic_cooccurrence,gymnodinium,DINO_TAXON,42,STX_DOC_000002;STX_DOC_000009;STX_DOC_000017;STX_DOC_000021;STX_DOC_000028;STX_DOC_000035;STX_DOC_000036;STX_DOC_000037;STX_DOC_000052;STX_DOC_000053;STX_DOC_000059;STX_DOC_000067;STX_DOC_000082;STX_DOC_000100;STX_DOC_000127;STX_DOC_000148;STX_DOC_000151;STX_DOC_000154;STX_DOC_000188;STX_DOC_000195;STX_DOC_000225;STX_DOC_000250;STX_DOC_000260;STX_DOC_000269;STX_DOC_000351;STX_DOC_000360;STX_DOC_000375;STX_DOC_000380;STX_DOC_000381;STX_DOC_000408;STX_DOC_000414;STX_DOC_000457;STX_DOC_000458;STX_DOC_000467;STX_DOC_000517;STX_DOC_000573;STX_DOC_000663;STX_DOC_000664;STX_DOC_000672;STX_DOC_001129;STX_DOC_001283;STX_DOC_001721,1988.0,2025.0,dino_all
alexandrium,DINO_TAXON,semantic_cooccurrence,gymnodinium_catenatum,DINO_TAXON,30,STX_DOC_000002;STX_DOC_000021;STX_DOC_000028;STX_DOC_000035;STX_DOC_000036;STX_DOC_000037;STX_DOC_000052;STX_DOC_000053;STX_DOC_000059;STX_DOC_000067;STX_DOC_000082;STX_DOC_000100;STX_DOC_000127;STX_DOC_000148;STX_DOC_000154;STX_DOC_000195;STX_DOC_000250;STX_DOC_000260;STX_DOC_000269;STX_DOC_000351;STX_DOC_000380;STX_DOC_000414;STX_DOC_000457;STX_DOC_000458;STX_DOC_000517;STX_DOC_000573;STX_DOC_000663;STX_DOC_000664;STX_DOC_000672;STX_DOC_001721,1988.0,2025.0,dino_all
alexandrium,DINO_TAXON,semantic_cooccurrence,harmful_algal_bloom,ENV_FACTOR,18,STX_DOC_000033;STX_DOC_000053;STX_DOC_000057;STX_DOC_000263;STX_DOC_000277;STX_DOC_000287;STX_DOC_000288;STX_DOC_000289;STX_DOC_000321;STX_DOC_000407;STX_DOC_000412;STX_DOC_000508;STX_DOC_000642;STX_DOC_000738;STX_DOC_000820;STX_DOC_000942;STX_DOC_001052;STX_DOC_001721,2003.0,2023.0,dino_all
alexandrium,DINO_TAXON,semantic_cooccurrence,hplc,DETECTION_METHOD,69,STX_DOC_000035;STX_DOC_000036;STX_DOC_000057;STX_DOC_000062;STX_DOC_000081;STX_DOC_000083;STX_DOC_000089;STX_DOC_000095;STX_DOC_000107;STX_DOC_000151;STX_DOC_000155;STX_DOC_000169;STX_DOC_000192;STX_DOC_000193;STX_DOC_000194;STX_DOC_000195;STX_DOC_000196;STX_DOC_000211;STX_DOC_000225;STX_DOC_000227;STX_DOC_000250;STX_DOC_000251;STX_DOC_000273;STX_DOC_000280;STX_DOC_000287;STX_DOC_000288;STX_DOC_000293;STX_DOC_000327;STX_DOC_000332;STX_DOC_000334;STX_DOC_000347;STX_DOC_000348;STX_DOC_000351;STX_DOC_000375;STX_DOC_000390;STX_DOC_000429;STX_DOC_000467;STX_DOC_000478;STX_DOC_000501;STX_DOC_000502;STX_DOC_000514;STX_DOC_000517;STX_DOC_000569;STX_DOC_000576;STX_DOC_000588;STX_DOC_000589;STX_DOC_000591;STX_DOC_000599;STX_DOC_000600;STX_DOC_000668;STX_DOC_000671;STX_DOC_000676;STX_DOC_000677;STX_DOC_000711;STX_DOC_000730;STX_DOC_000741;STX_DOC_000787;STX_DOC_000857;STX_DOC_000864;STX_DOC_000871;STX_DOC_000964;STX_DOC_000973;STX_DOC_000975;STX_DOC_001088;STX_DOC_001114;STX_DOC_001148;STX_DOC_001198;STX_DOC_001283;STX_DOC_001733,1988.0,2024.0,dino_all
alexandrium,DINO_TAXON,semantic_cooccurrence,irradiance,ENV_FACTOR,5,STX_DOC_000133;STX_DOC_000165;STX_DOC_000279;STX_DOC_000391;STX_DOC_000437,2001.0,2025.0,dino_all
alexandrium,DINO_TAXON,semantic_cooccurrence,lc_ms,DETECTION_METHOD,12,STX_DOC_000092;STX_DOC_000104;STX_DOC_000158;STX_DOC_000280;STX_DOC_000414;STX_DOC_000465;STX_DOC_000541;STX_DOC_000569;STX_DOC_000572;STX_DOC_000913;STX_DOC_001720;STX_DOC_001740,2006.0,2022.0,dino_all
alexandrium,DINO_TAXON,semantic_cooccurrence,lc_ms_ms,DETECTION_METHOD,10,STX_DOC_000092;STX_DOC_000104;STX_DOC_000158;STX_DOC_000280;STX_DOC_000414;STX_DOC_000465;STX_DOC_000541;STX_DOC_000569;STX_DOC_000913;STX_DOC_001720,2012.0,2022.0,dino_all
alexandrium,DINO_TAXON,semantic_cooccurrence,light,ENV_FACTOR,36,STX_DOC_000040;STX_DOC_000062;STX_DOC_000088;STX_DOC_000102;STX_DOC_000133;STX_DOC_000180;STX_DOC_000181;STX_DOC_000199;STX_DOC_000213;STX_DOC_000300;STX_DOC_000309;STX_DOC_000345;STX_DOC_000374;STX_DOC_000403;STX_DOC_000407;STX_DOC_000418;STX_DOC_000423;STX_DOC_000435;STX_DOC_000437;STX_DOC_000541;STX_DOC_000553;STX_DOC_000565;STX_DOC_000572;STX_DOC_000667;STX_DOC_000668;STX_DOC_000669;STX_DOC_000674;STX_DOC_000718;STX_DOC_000755;STX_DOC_000793;STX_DOC_000794;STX_DOC_000864;STX_DOC_000892;STX_DOC_000979;STX_DOC_001077;STX_DOC_001157,1997.0,2025.0,dino_all
alexandrium,DINO_TAXON,semantic_cooccurrence,liquid_chromatography,DETECTION_METHOD,8,STX_DOC_000478;STX_DOC_000517;STX_DOC_000730;STX_DOC_000973;STX_DOC_000975;STX_DOC_000982;STX_DOC_000984;STX_DOC_001740,1992.0,2016.0,dino_all
alexandrium,DINO_TAXON,semantic_cooccurrence,lyngbya,CYANO_TAXON,1,STX_DOC_000009,2010.0,2010.0,dino_all
alexandrium,DINO_TAXON,semantic_cooccurrence,mass_spectrometry,DETECTION_METHOD,29,STX_DOC_000025;STX_DOC_000092;STX_DOC_000122;STX_DOC_000135;STX_DOC_000158;STX_DOC_000187;STX_DOC_000267;STX_DOC_000273;STX_DOC_000309;STX_DOC_000322;STX_DOC_000348;STX_DOC_000367;STX_DOC_000414;STX_DOC_000465;STX_DOC_000486;STX_DOC_000572;STX_DOC_000573;STX_DOC_000599;STX_DOC_000600;STX_DOC_000658;STX_DOC_000738;STX_DOC_000777;STX_DOC_000913;STX_DOC_000982;STX_DOC_000984;STX_DOC_001333;STX_DOC_001706;STX_DOC_001724;STX_DOC_001740,1992.0,2026.0,dino_all
alexandrium,DINO_TAXON,semantic_cooccurrence,mouse_bioassay,DETECTION_METHOD,28,STX_DOC_000081;STX_DOC_000105;STX_DOC_000107;STX_DOC_000127;STX_DOC_000151;STX_DOC_000195;STX_DOC_000250;STX_DOC_000253;STX_DOC_000304;STX_DOC_000332;STX_DOC_000334;STX_DOC_000350;STX_DOC_000569;STX_DOC_000588;STX_DOC_000589;STX_DOC_000591;STX_DOC_000670;STX_DOC_000676;STX_DOC_000698;STX_DOC_000765;STX_DOC_000958;STX_DOC_000964;STX_DOC_000973;STX_DOC_000975;STX_DOC_001198;STX_DOC_001203;STX_DOC_001283;STX_DOC_001401,1991.0,2024.0,dino_all
