dataset,source,source_type,relation,target,target_type,weight,support_documents,first_year,last_year
cyano_all,alexandrium,DINO_TAXON,taxon_associated_with_process,horizontal_gene_transfer,BIOLOGICAL_PROCESS,4,STX_DOC_000001;STX_DOC_000004;STX_DOC_000008;STX_DOC_000052,2013.0,2024.0
cyano_all,alexandrium,DINO_TAXON,taxon_associated_with_process,phylogenetic,BIOLOGICAL_PROCESS,6,STX_DOC_000001;STX_DOC_000002;STX_DOC_000022;STX_DOC_000034;STX_DOC_000052;STX_DOC_000325,2009.0,2025.0
cyano_all,alexandrium,DINO_TAXON,taxon_associated_with_process,phylogeny,BIOLOGICAL_PROCESS,2,STX_DOC_000001;STX_DOC_000022,2012.0,2024.0
cyano_all,alexandrium,DINO_TAXON,taxon_associated_with_process,regulation,BIOLOGICAL_PROCESS,5,STX_DOC_000019;STX_DOC_000275;STX_DOC_000325;STX_DOC_000385;STX_DOC_000435,2009.0,2017.0
cyano_all,alexandrium,DINO_TAXON,taxon_associated_with_process,saxitoxin_biosynthesis,BIOLOGICAL_PROCESS,6,STX_DOC_000001;STX_DOC_000002;STX_DOC_000026;STX_DOC_000037;STX_DOC_000044;STX_DOC_000052,2013.0,2025.0
cyano_all,alexandrium,DINO_TAXON,taxon_associated_with_process,toxicity,BIOLOGICAL_PROCESS,4,STX_DOC_000009;STX_DOC_000017;STX_DOC_000033;STX_DOC_000077,2010.0,2023.0
cyano_all,alexandrium,DINO_TAXON,taxon_associated_with_process,toxin_biosynthesis,BIOLOGICAL_PROCESS,5,STX_DOC_000034;STX_DOC_000040;STX_DOC_000113;STX_DOC_000242;STX_DOC_000322,2013.0,2022.0
cyano_all,alexandrium,DINO_TAXON,taxon_associated_with_process,toxin_production,BIOLOGICAL_PROCESS,6,STX_DOC_000004;STX_DOC_000008;STX_DOC_000012;STX_DOC_000019;STX_DOC_000077;STX_DOC_000385,2010.0,2022.0
cyano_all,alexandrium,DINO_TAXON,taxon_associated_with_process,transcriptome,BIOLOGICAL_PROCESS,7,STX_DOC_000001;STX_DOC_000002;STX_DOC_000033;STX_DOC_000040;STX_DOC_000186;STX_DOC_000242;STX_DOC_000435,2009.0,2025.0
cyano_all,alexandrium,DINO_TAXON,taxon_associated_with_process,transcriptomic,BIOLOGICAL_PROCESS,7,STX_DOC_000002;STX_DOC_000008;STX_DOC_000012;STX_DOC_000019;STX_DOC_000242;STX_DOC_000275;STX_DOC_000435,2009.0,2025.0
cyano_all,alexandrium_affine,DINO_TAXON,semantic_cooccurrence,bloom,ENV_FACTOR,1,STX_DOC_000033,2023.0,2023.0
cyano_all,alexandrium_affine,DINO_TAXON,semantic_cooccurrence,cyanobacteria,CYANO_TAXON,1,STX_DOC_000033,2023.0,2023.0
cyano_all,alexandrium_affine,DINO_TAXON,semantic_cooccurrence,harmful_algal_bloom,ENV_FACTOR,1,STX_DOC_000033,2023.0,2023.0
cyano_all,alexandrium_affine,DINO_TAXON,semantic_cooccurrence,nitrate,ENV_FACTOR,1,STX_DOC_000033,2023.0,2023.0
cyano_all,alexandrium_affine,DINO_TAXON,semantic_cooccurrence,temperature,ENV_FACTOR,1,STX_DOC_000033,2023.0,2023.0
cyano_all,alexandrium_affine,DINO_TAXON,taxon_associated_with_process,biosynthesis,BIOLOGICAL_PROCESS,1,STX_DOC_000033,2023.0,2023.0
