dataset,source,source_type,relation,target,target_type,weight,support_documents,first_year,last_year
dino_pre2016,alexandrium,DINO_TAXON,semantic_cooccurrence,irradiance,ENV_FACTOR,4,STX_DOC_000165;STX_DOC_000279;STX_DOC_000391;STX_DOC_000437,2001.0,2014.0
dino_pre2016,alexandrium,DINO_TAXON,semantic_cooccurrence,lc_ms,DETECTION_METHOD,4,STX_DOC_000280;STX_DOC_000569;STX_DOC_000572;STX_DOC_001740,2006.0,2013.0
dino_pre2016,alexandrium,DINO_TAXON,semantic_cooccurrence,lc_ms_ms,DETECTION_METHOD,2,STX_DOC_000280;STX_DOC_000569,2012.0,2013.0
dino_pre2016,alexandrium,DINO_TAXON,semantic_cooccurrence,light,ENV_FACTOR,18,STX_DOC_000040;STX_DOC_000062;STX_DOC_000213;STX_DOC_000300;STX_DOC_000345;STX_DOC_000435;STX_DOC_000437;STX_DOC_000565;STX_DOC_000572;STX_DOC_000667;STX_DOC_000668;STX_DOC_000669;STX_DOC_000674;STX_DOC_000755;STX_DOC_000864;STX_DOC_000979;STX_DOC_001077;STX_DOC_001157,1997.0,2015.0
dino_pre2016,alexandrium,DINO_TAXON,semantic_cooccurrence,liquid_chromatography,DETECTION_METHOD,7,STX_DOC_000517;STX_DOC_000730;STX_DOC_000973;STX_DOC_000975;STX_DOC_000982;STX_DOC_000984;STX_DOC_001740,1992.0,2013.0
dino_pre2016,alexandrium,DINO_TAXON,semantic_cooccurrence,lyngbya,CYANO_TAXON,1,STX_DOC_000009,2010.0,2010.0
dino_pre2016,alexandrium,DINO_TAXON,semantic_cooccurrence,mass_spectrometry,DETECTION_METHOD,14,STX_DOC_000187;STX_DOC_000322;STX_DOC_000348;STX_DOC_000486;STX_DOC_000572;STX_DOC_000573;STX_DOC_000599;STX_DOC_000600;STX_DOC_000658;STX_DOC_000738;STX_DOC_000982;STX_DOC_000984;STX_DOC_001333;STX_DOC_001740,1992.0,2015.0
dino_pre2016,alexandrium,DINO_TAXON,semantic_cooccurrence,mouse_bioassay,DETECTION_METHOD,24,STX_DOC_000081;STX_DOC_000127;STX_DOC_000151;STX_DOC_000195;STX_DOC_000250;STX_DOC_000253;STX_DOC_000332;STX_DOC_000334;STX_DOC_000350;STX_DOC_000569;STX_DOC_000588;STX_DOC_000589;STX_DOC_000591;STX_DOC_000670;STX_DOC_000676;STX_DOC_000765;STX_DOC_000958;STX_DOC_000964;STX_DOC_000973;STX_DOC_000975;STX_DOC_001198;STX_DOC_001203;STX_DOC_001283;STX_DOC_001401,1991.0,2014.0
dino_pre2016,alexandrium,DINO_TAXON,semantic_cooccurrence,nitrate,ENV_FACTOR,17,STX_DOC_000062;STX_DOC_000063;STX_DOC_000148;STX_DOC_000189;STX_DOC_000219;STX_DOC_000285;STX_DOC_000345;STX_DOC_000436;STX_DOC_000437;STX_DOC_000444;STX_DOC_000571;STX_DOC_000590;STX_DOC_000674;STX_DOC_001733;STX_DOC_001741;STX_DOC_001744;STX_DOC_001749,1994.0,2012.0
dino_pre2016,alexandrium,DINO_TAXON,semantic_cooccurrence,nitrogen,ENV_FACTOR,18,STX_DOC_000024;STX_DOC_000062;STX_DOC_000063;STX_DOC_000113;STX_DOC_000189;STX_DOC_000254;STX_DOC_000285;STX_DOC_000321;STX_DOC_000436;STX_DOC_000444;STX_DOC_000561;STX_DOC_000565;STX_DOC_000571;STX_DOC_000590;STX_DOC_000841;STX_DOC_000974;STX_DOC_001742;STX_DOC_001744,1990.0,2015.0
dino_pre2016,alexandrium,DINO_TAXON,semantic_cooccurrence,nitrogen_limitation,ENV_FACTOR,2,STX_DOC_000113;STX_DOC_000561,2015.0,2015.0
dino_pre2016,alexandrium,DINO_TAXON,semantic_cooccurrence,nutrient,ENV_FACTOR,30,STX_DOC_000024;STX_DOC_000063;STX_DOC_000074;STX_DOC_000078;STX_DOC_000098;STX_DOC_000113;STX_DOC_000117;STX_DOC_000148;STX_DOC_000165;STX_DOC_000254;STX_DOC_000285;STX_DOC_000321;STX_DOC_000336;STX_DOC_000435;STX_DOC_000436;STX_DOC_000444;STX_DOC_000561;STX_DOC_000567;STX_DOC_000583;STX_DOC_000584;STX_DOC_000657;STX_DOC_000759;STX_DOC_000841;STX_DOC_000864;STX_DOC_000872;STX_DOC_000974;STX_DOC_001736;STX_DOC_001742;STX_DOC_001744;STX_DOC_001749,1990.0,2015.0
dino_pre2016,alexandrium,DINO_TAXON,semantic_cooccurrence,nutrients,ENV_FACTOR,10,STX_DOC_000148;STX_DOC_000345;STX_DOC_000444;STX_DOC_000565;STX_DOC_000583;STX_DOC_000584;STX_DOC_000841;STX_DOC_000974;STX_DOC_001733;STX_DOC_001746,1996.0,2013.0
dino_pre2016,alexandrium,DINO_TAXON,semantic_cooccurrence,phosphate,ENV_FACTOR,11,STX_DOC_000063;STX_DOC_000074;STX_DOC_000098;STX_DOC_000148;STX_DOC_000189;STX_DOC_000300;STX_DOC_000345;STX_DOC_000436;STX_DOC_000759;STX_DOC_001733;STX_DOC_001741,1994.0,2012.0
dino_pre2016,alexandrium,DINO_TAXON,semantic_cooccurrence,phosphorus,ENV_FACTOR,12,STX_DOC_000024;STX_DOC_000063;STX_DOC_000113;STX_DOC_000254;STX_DOC_000321;STX_DOC_000444;STX_DOC_000759;STX_DOC_000841;STX_DOC_000872;STX_DOC_000974;STX_DOC_001181;STX_DOC_001742,1990.0,2015.0
dino_pre2016,alexandrium,DINO_TAXON,semantic_cooccurrence,phosphorus_limitation,ENV_FACTOR,2,STX_DOC_000759;STX_DOC_000872,2000.0,2002.0
dino_pre2016,alexandrium,DINO_TAXON,semantic_cooccurrence,planktothrix,CYANO_TAXON,1,STX_DOC_000009,2010.0,2010.0
dino_pre2016,alexandrium,DINO_TAXON,semantic_cooccurrence,protoceratium,DINO_TAXON,1,STX_DOC_000568,2012.0,2012.0
dino_pre2016,alexandrium,DINO_TAXON,semantic_cooccurrence,protoceratium_reticulatum,DINO_TAXON,1,STX_DOC_000568,2012.0,2012.0
dino_pre2016,alexandrium,DINO_TAXON,semantic_cooccurrence,pyrodinium,DINO_TAXON,9,STX_DOC_000009;STX_DOC_000022;STX_DOC_000028;STX_DOC_000126;STX_DOC_000293;STX_DOC_000380;STX_DOC_000381;STX_DOC_000664;STX_DOC_000828,2006.0,2015.0
dino_pre2016,alexandrium,DINO_TAXON,semantic_cooccurrence,pyrodinium_bahamense,DINO_TAXON,5,STX_DOC_000022;STX_DOC_000028;STX_DOC_000293;STX_DOC_000664;STX_DOC_000828,2006.0,2015.0
dino_pre2016,alexandrium,DINO_TAXON,semantic_cooccurrence,salinity,ENV_FACTOR,11,STX_DOC_000062;STX_DOC_000117;STX_DOC_000125;STX_DOC_000148;STX_DOC_000165;STX_DOC_000336;STX_DOC_000345;STX_DOC_000567;STX_DOC_000572;STX_DOC_000667;STX_DOC_001082,1996.0,2015.0
dino_pre2016,alexandrium,DINO_TAXON,semantic_cooccurrence,temperature,ENV_FACTOR,20,STX_DOC_000074;STX_DOC_000098;STX_DOC_000117;STX_DOC_000125;STX_DOC_000165;STX_DOC_000213;STX_DOC_000219;STX_DOC_000279;STX_DOC_000282;STX_DOC_000294;STX_DOC_000295;STX_DOC_000300;STX_DOC_000345;STX_DOC_000437;STX_DOC_000442;STX_DOC_000567;STX_DOC_000667;STX_DOC_000864;STX_DOC_000973;STX_DOC_000975,1998.0,2015.0
