collection,title,abstract,journal,year,paper_id,domain,group
environmental,"Temperature-Driven Intraspecific Diversity in Paralytic Shellfish Toxin Profiles of the Dinoflagellate Alexandrium pacificum and Intragenic Variation in the Saxitoxin Biosynthetic Gene, sxtA4","Alexandrium pacificum, a globally distributed dinoflagellate, is well-known for causing harmful algal blooms and producing Paralytic Shellfish Toxins (PSTs), a threat to marine life and human health. The frequency and intensity of Alexandrium blooms have increased in recent decades, driven, in some cases, by increasing temperatures. Here, we investigated the temperature-dependent (15 °C, 20 °C, 25 °C, and 30 °C) growth rates and paralytic shellfish toxin profiles of eight A. pacificum strains while concurrently examining differences in sequences of the saxitoxin biosynthetic gene, sxtA4. While maximum cell densities were lowest at 30 °C, toxin production per cell was highest at higher temperatures that inhibited growth, with greater diversity of toxin analogs peaking at 30 °C, as confirmed by the higher Shannons diversity index obtained for the toxin profiles with the increasing temperatures. Furthermore, genetic analysis of the sxtA4 gene showed that greater genetic diversityquantified by nucleotide diversity (?) ranging from 9.91 to 30.21 across strainswas positively correlated with this wider array of toxin analogs (Shannons diversity index; p?<?0.0001). Conserved regions within the gene were identified, suggesting that these regions may play important structural or functional roles in the saxitoxin biosynthetic pathway. These findings highlight the role of temperature, genetic diversity, and sxtA4 conserved regions in influencing toxin production and profiles in Alexandrium. Further research into the genetic mechanisms underlying saxitoxin biosynthesis will improve our understanding of Alexandriums adaptability to changing temperatures. Such insights are essential for effective ecosystem management and safeguarding public health.",Microbial Ecology,2025,P068,dinoflagellate,test
environmental,Multiple defense is an effective antipredator strategy in dinoflagellates,"Phytoplankton have evolved myriad defenses against predators; yet, studies that simultaneously test for defense fitness costs and benefits are rare. We tested for relative fitness costs and benefits of defense in the marine dinoflagellate Alexandrium catenella using a framework that relates growth rates of prey genotypes (strains) that differed in constitutive toxin production (low, moderate, and high) to predator (copepod) concentration. Our approach is based on a novel molecular technique that allows one to disentangle the effect of predation mortality from the cell growth reduction due to toxin production. Results show that the strain with the highest constitutive toxin production was the only one that expressed inducible toxin production-a strategy that paid off as its fitness benefit outweighed its cost. Surprisingly, the moderate toxin strain that derived the highest relative fitness benefit increased cell division rate (akin to compensatory growth) and decreased cell size, while keeping its volume-specific toxin production constant in response to predation. These results suggest an effective antipredator defense portfolio.",ISME communications,2025,P069,dinoflagellate,test
environmental,Unravelling the toxicity mechanisms of polystyrene nanoplastics on physiological and transcriptomic responses of the marine dinoflagellate Alexandrium minutum,"Dinoflagellates are a group of marine phytoplankton, and many species are considered to be responsible for harmful algal blooms (HABs) due to their toxin production. Nanoplastics (NP) have hazardous effects on algae, but physiological response, toxin production and underlying regulation mechanisms that they induce in dinoflagellates are poorly understood. In this study, a Chinese Alexandrium minutum strain was exposed to various concentrations (0.1, 0.5, 1.0, 5.0, 10.0 and 50.0 mg/L) of polystyrene nanoplastics (PSNP, 50 nm), and its growth, photosynthesis, oxidative stress response, saxitoxin (STX) production, and transcriptomic response were explored in these conditions. The growth and photosynthesis efficiency were inhibited by relative higher concentrations (10.0 and 50.0 mg/L) of PSNP exposure. The chlorophyll a, malondialdehyde (MDA) contents, antioxidant enzyme activities and STX levels gradually increased at low PSNP concentrations and short time exposures, and subsequently decreased at high PSNP concentrations. Most photosynthesis-related genes have similar decreasing trends with physiological changes, while the antioxidant system genes were upregulated to resist the oxidative stress caused under PSNP. The genes involved in N metabolism were upregulated to maintain normal biological activity and synthesize substrates for STX production. In addition, several STX biosynthesis genes were differentially expressed under PSNP treatment. These findings provide a comprehensive understanding of the response mechanisms and STX synthesis in toxin-producing dinoflagellates exposed to PSNP.",Environmental Pollution,2025,P070,dinoflagellate,test
environmental,"Toxin production in bloom-forming, harmful alga Alexandrium pacificum (Group IV) is regulated by cyst formation-promoting bacteria Jannaschia cystaugens NBRC 100362T","Harmful algal blooms (HABs) caused by dinoflagellates like Alexandrium pacificum pose significant ecological and public health risks due to their production of paralytic shellfish toxins (PSTs). Bacterial populations, particularly Alexandrium cyst formation-promoting bacteria (Alex-CFPB), are known to significantly influence growth, encystment, toxin synthesis, the composition of toxic components, and bloom dynamics of these dinoflagellates. However, the role of Alex-CFPB in Alexandrium toxin synthesis and the mechanisms thereof are still unclear. Here, we show that co-culturing A. pacificum with cyst formation-promoting bacteria Jannaschia cystaugens significantly increases total intracellular PSTs content in the late stationary phase (including more cysts and less vegetable cells compared with axenic group). Our results demonstrate that the presence of J. cystaugens alters metabolic pathways in A. pacificum by upregulating key paralytic shellfish toxins synthesis genes and inducing downregulation of sulfotransferase sxtN (related to PSTs sulfation) which decreases sulfated PSTs components (low-toxicity), leading to an increase in high-toxicity PSTs content at a single-cell level. Furthermore, bacterial oxidative stress signals, nutrient competition, and quorum sensing contribute to increased toxin synthesis. These results provide insights into the major role of bacteria in modulating growth, physiology, and toxin production in bloom-forming algae, and the complex regulatory mechanisms therein. This study thus defines the critical function of microbial associations in bloom formation and toxin production with implications for managing HABs and mitigating their impacts.",Water Research,2025,P071,dinoflagellate,test
environmental,Unravelling the toxicity mechanisms of polystyrene nanoplastics on physiological and transcriptomic responses of the marine dinoflagellate Alexandrium minutum,"Dinoflagellates are a group of marine phytoplankton, and many species are considered to be responsible for harmful algal blooms (HABs) due to their toxin production. Nanoplastics (NP) have hazardous effects on algae, but physiological response, toxin production and underlying regulation mechanisms that they induce in dinoflagellates are poorly understood. In this study, a Chinese Alexandrium minutum strain was exposed to various concentrations (0.1, 0.5, 1.0, 5.0, 10.0 and 50.0 mg/L) of polystyrene nanoplastics (PSNP, 50 nm), and its growth, photosynthesis, oxidative stress response, saxitoxin (STX) production, and transcriptomic response were explored in these conditions. The growth and photosynthesis efficiency were inhibited by relative higher concentrations (10.0 and 50.0 mg/L) of PSNP exposure. The chlorophyll a, malondialdehyde (MDA) contents, antioxidant enzyme activities and STX levels gradually increased at low PSNP concentrations and short time exposures, and subsequently decreased at high PSNP concentrations. Most photosynthesis-related genes have similar decreasing trends with physiological changes, while the antioxidant system genes were upregulated to resist the oxidative stress caused under PSNP. The genes involved in N metabolism were upregulated to maintain normal biological activity and synthesize substrates for STX production. In addition, several STX biosynthesis genes were differentially expressed under PSNP treatment. These findings provide a comprehensive understanding of the response mechanisms and STX synthesis in toxin-producing dinoflagellates exposed to PSNP.",Environmental Pollution,2025,P098,dinoflagellate,test
environmental,Environmental drivers and microbial interactions in harmful dinoflagellate blooms: Insights from metagenomics and machine learning,"Freshwater dinoflagellate blooms have become a global environmental challenge, particularly in highland lakes. This study investigated dinoflagellate blooms in Lake Erhai, China, using microscopy, 18S rRNA sequencing, and metagenomics. The dominant species was identified as a variant of Peridinium gatunense. While no significant diurnal vertical distribution was observed (p?>?0.05), geographic distribution varied significantly (p?<?0.05). Metagenomic analysis revealed that specific microbial communities in dinoflagellate-dense areas promote their growth through enhanced metabolic pathways, particularly in nitrogen cycling and organic matter decomposition. Areas with high dinoflagellate density showed significantly reduced antibiotic resistance genes. Among various machine learning models tested, the gradient boosting model achieved optimal performance (R² = 0.88), identifying transparency, pH, permanganate index, ammonia nitrogen, and Ceratium spp. as key environmental drivers. These findings suggest that dinoflagellate blooms in Lake Erhai result from complex interactions between environmental factors and microbial communities, providing valuable insights for monitoring and controlling harmful algal blooms in highland lakes.",Process Safety and Environmental Protection,2025,P112,dinoflagellate,test
mechanisms,Structural basis for saxitoxin congener binding and neutralization by anuran saxiphilins,"Dinoflagellates and cyanobacteria produce saxitoxin (STX) and ~50 congeners that disrupt bioelectrical signals by blocking voltage-gated sodium channels (NaVs). Consuming seafood carrying these toxins causes paralytic shellfish poisoning (PSP). Although NaVs and anuran STX binding proteins (saxiphilins, Sxphs) use convergent STX binding modes, the structural basis for STX congener recognition is unknown. Here, we show that American bullfrog (Rana catesbeiana) RcSxph and High Himalaya frog (Nanorana parkeri) NpSxph sequester STX congeners using a 'lock and key' mode shared with STX. Importantly, functional studies demonstrate that Sxph 'toxin sponges' reverse NaV block by multiple STX congeners and detect these toxins in a radioligand binding assay (RBA) used for environmental testing. Together, our study establishes how Sxphs sequester select neurotoxins and uncover STX congener-specific interactions distinct from NaVs. These findings expand understanding of toxin sponge action and provide a foundation for strategies to monitor and mitigate the harmful effects of STX congeners.",Nature Communications,2025,P132,dinoflagellate,test
policy_monitoring,ScillyHAB: A Multi-Disciplinary Survey of Harmful Marine Phytoplankton and Shellfish Toxins in the Isles of Scilly: Combining Citizen Science with State-of-the-Art Monitoring in an Isolated UK Island Territory,The Isles of Scilly are an archipelago of islands in the far southwest of the UK which contain numerous beds of wild bivalve molluscs which are recrea...,Marine Drugs,2025,P163,dinoflagellate,test
review,"Saxitoxin: A Comprehensive Review of Its History, Structure, Toxicology, Biosynthesis, Detection, and Preventive Implications","Saxitoxin (STX) is a potent toxin produced by marine dinoflagellates and freshwater or brackish water cyanobacteria, and is a member of the paralytic shellfish toxins (PSTs). As a highly specific blocker of voltage-gated sodium channels (NaVs), STX blocks sodium ion influx, thereby inhibiting nerve impulse transmission and leading to systemic physiological dysfunctions in the nervous, respiratory, cardiovascular, and digestive systems. Severe exposure can lead to paralysis, respiratory failure, and mortality. STX primarily enters the human body through the consumption of contaminated shellfish, posing a significant public health risk as the causative agent of paralytic shellfish poisoning (PSP). Beyond its acute toxicity, STX exerts cascading impacts on food safety, marine ecosystem integrity, and economic stability, particularly in regions affected by harmful algal blooms (HABs). Moreover, the complex molecular structure of STXtricyclic skeleton and biguanide groupand its diverse analogs (more than 50 derivatives) have made it the focus of research on natural toxins. In this review, we traced the discovery history, chemical structure, molecular biosynthesis, biological enrichment mechanisms, and toxicological actions of STX. Moreover, we highlighted recent advancements in the potential for detection and treatment strategies of STX. By integrating multidisciplinary insights, this review aims to provide a holistic understanding of STX and to guide future research directions for its prevention, management, and potential applications.",Marine Drugs,2025,P167,dinoflagellate,test
review,"Why do some dinoflagellates produce toxins, whereas ciliates rarely do?","Dinoflagellates and ciliates dominate marine microzooplankton, yet widespread toxin production is largely restricted to dinoflagellates. This perspective synthesizes evolutionary, genomic, and ecological drivers of that asymmetry with direct relevance to harmful algal events. From a molecular and biochemical point of view, dinoflagellates possess vast, repeat-rich genomes that support modular PKS/NRPS pathways yielding chemically diverse metabolites, whereas ciliates generally lack complete PKS/NRPS clusters (apart from a few predatory lineages) and instead emphasize behavioral defenses and rapid reproduction. Most confirmed toxic dinoflagellates are photosynthetic or mixotrophic; robust cases in purely heterotrophic taxa are lacking. Despite environment-dependent costs, dinoflagellate metabolites confer grazer deterrence, allelopathy, prey lysis, and potential nutrient acquisition. Socio-economically, paralytic shellfish toxins (saxitoxins) produced by Alexandrium spp., Gymnodinium catenatum, and Pyrodinium bahamensenon-PKS alkaloids associated with sxt genesare among the most consequential. An integrated approach coupling genomics, metabolomics, targeted bioassays, and in situ observations will clarify when chemical versus behavioral strategies prevail across ocean regimes, thereby improving HAB risk assessment, monitoring, and mitigation.",Harmful Algae,2025,P168,dinoflagellate,test
toxin_profile,"Paralytic Shellfish Toxins in Coastal Waters of Changdao Island (China): Toxin Profiles, Potential Producers, and Environmental Conditions","In recent decades, there have been frequent occurrences of paralytic shellfish toxin (PST) contamination in the Yellow and Bohai Seas, China. The waters around Changdao Island, situated at the convergence of these two seas, have suffered harmful algal blooms of Alexandrium spp., indicating a potential risk of PST contamination in shellfish. However, a systematic investigation and assessment of PSTs in this area is still lacking. The presence of PSTs in plankton concentrates and shellfish in coastal areas of Changdao Island was monitored from April to October 2022, using liquid chromatography-tandem mass spectrometry. The potential toxin-producing microalgae were analyzed, as were the environmental conditions associated with their occurrence. The highest levels of PSTs in plankton concentrates and shellfish were both observed in September, reaching levels of 105.8 ng STXeq./L and 114.7 ?g STXeq./kg, respectively. The main analogues were C1, C2, and GTX1-4. High-throughput analysis of the plankton concentrates identified eight species of Alexandrium, which are potential producers of PSTs. Sediment samples also revealed the presence of permanent cysts of Alexandrium. This research represents a significant advance in our understanding of the distribution and hypothetical sources of PSTs in the coastal waters of Changdao Island.",Marine Drugs,2025,P186,dinoflagellate,test
hab,"Phytoplankton and giant virus dynamics during different monsoon seasons, a fish kill, and a toxic bloom in a eutrophic mariculture area","Harmful algal blooms (HABs) pose a significant public health concern and can cause severe economic losses. In Bolinao, Philippines, intensive mariculture has led to diatom- or dinoflagellate-dominated HABs since the 2000s, raising risks of paralytic shellfish poisonings and fish kills. In the context of ongoing HAB monitoring and mitigation efforts, we investigated the phytoplankton and associated giant viruses during two seasons (Nov-Dec 2021 and Apr-May 2022). Our sampling encompassed a saxitoxin episode lasting 2.5 months (April-June 2022), and a fish kill (May 15-16, 2022). We used a low-cost flow-through camera (PlanktoScope) and 18S rRNA gene amplicon sequencing to identify the dominant phytoplankton. We detected the presence of Alexandrium sp., a known saxitoxin-producing alga, coincident with a toxin alert that resulted in a shellfish ban, even though it was not the dominant taxon. Using electron microscopy, we observed diverse morphologies of virus-like particles (VLPs), including giant icosahedral VLPs (~200 nm capsids). We assembled giant virus genomes from metagenomic data collected at different bloom phases. Phylogenetic and functional analyses suggest that the recovered genomes are primarily from viruses in the orders Imitervirales and Algavirales, encoding diverse auxiliary metabolic genes involved in nutrient transport and carbohydrate metabolism. The diversity and spatiotemporal dynamics of plankton and their viruses described in this study contributed to our understanding of the broader microbial context of HABs. Importance HABs are widespread phenomena that can be detrimental to livelihoods and health in coastal communities. Understanding what drives their formation, maintenance, and crash could aid in predicting, and potentially alleviating these events. Here, we report on the diversity and temporal dynamics of phytoplankton and giant viruses during a HAB event. Our findings revealed a diverse array of giant viruses belonging to thirteen families in a eutrophic coastal environment. We found evidence of associations between several phytoplankton-giant virus pairs and found a temporal/seasonal influence on phytoplankton-giant virus community structure. While future research is needed to establish definitive links between the giant viruses and HABs species succession, this study lays the groundwork for future mechanistic studies.",,2025,P219,dinoflagellate,test
detection,Advances in Biosensors for the Rapid Detection of Marine Biotoxins: Current Status and Future Perspectives,"Marine biotoxins (MBs), harmful metabolites of marine organisms, pose a significant threat to marine ecosystems and human health due to their diverse composition and widespread occurrence. Consequently, rapid and efficient detection technology is crucial for maintaining marine ecosystem and human health. In recent years, rapid detection technology has garnered considerable attention for its pivotal role in identifying MBs, with advancements in sensitivity, specificity, and accuracy. These technologies offer attributes such as speed, high throughput, and automation, thereby meeting detection requirements across various scenarios. This review provides an overview of the classification and risks associated with MBs. It briefly outlines the current research status of marine biotoxin biosensors and introduces the fundamental principles, advantages, and limitations of optical, electrochemical, and piezoelectric biosensors. Additionally, the review explores the current applications in the detection of MBs and presents forward-looking perspectives on their development, which aims to be a comprehensive resource for the design and implementation of tailored biosensors for effective MB detection.",Biosensors,2024,P019,dinoflagellate,test
