Source,Target,Source_Type,Target_Type,Hypothesis_Type,Common_Neighbor_Count,Weighted_Common_Neighbor_Score,Adamic_Adar_Score,Preferential_Attachment,Source_Degree,Target_Degree,Source_Weighted_Degree,Target_Weighted_Degree,Semantic_Bonus,Structural_Score,Bridge_Nodes,Bridge_Relation_Hints,Priority_Bonus,Priority_Score,Biological_Category,Validated_in_Post2015,Has_STX_Gene_Signal,Has_Environment_Signal,Has_Evolution_Signal,Has_Regulation_Signal,GB_ML_Score_OOF,RF_ML_Score_OOF,ML_Score,Priority_Score_Norm,ML_Score_Norm,Final_AI_Discovery_Score
gene transfer,sxtA1,PHRASE_GENE_MECHANISM,GENE,GENE_MECHANISM_PHRASE_HYPOTHESIS,16,19.0,3.8951,2948,44,67,65.0,81.0,2.0,66.0301,Alexandrium minutum; Gymnodinium catenatum; amidinotransferase; biosynthesis; biosynthesis gene; conservation; evolution; gene cluster; genes involved; nitrogen; phylogeny; saxitoxin; saxitoxin and its derivatives; saxitoxin biosynthesis; sxtA; sxtG,ASSOCIATED_WITH;EVOLUTIONARY_LINK;INVOLVED_IN;PRESENT_IN;REGULATES,21.0,87.0301,Mechanistic biology,1,0.0,0.0,0.0,0.0,0.7670158967444806,0.974,0.8498095380466884,0.4773402077197631,0.9210521553252918,0.6770105841422511
biosynthesis,toxin contents,BIOLOGICAL_MECHANISM,PHRASE_TOXIN_PHENOTYPE,MECHANISM_TOXIN_PHENOTYPE_HYPOTHESIS,14,16.0,3.4123,5125,125,41,193.0,73.0,1.5,69.9497,Alexandrium catenella; Alexandrium tamarense; Toxin content; cellular toxin; paralytic shellfish toxin; paralytic shellfish toxins; phosphate; phosphorus; saxitoxin; saxitoxin derivatives; temperature; toxin composition; toxin content; toxin production,ASSOCIATED_WITH;DECREASES;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN;REGULATES,19.5,89.4497,Mechanistic biology,1,0.0,0.0,0.0,0.0,0.8198723115360694,0.849734529147982,0.8318171985808345,0.49185946872322195,0.9014751442552377,0.6761865227126291
horizontal gene,sxtA1,PHRASE_GENE_MECHANISM,GENE,GENE_MECHANISM_PHRASE_HYPOTHESIS,16,19.0,3.8951,2948,44,67,65.0,81.0,2.0,66.0301,Alexandrium minutum; Gymnodinium catenatum; amidinotransferase; biosynthesis; biosynthesis gene; conservation; evolution; gene cluster; genes involved; nitrogen; phylogeny; saxitoxin; saxitoxin and its derivatives; saxitoxin biosynthesis; sxtA; sxtG,ASSOCIATED_WITH;EVOLUTIONARY_LINK;INVOLVED_IN;PRESENT_IN;REGULATES,21.0,87.0301,Mechanistic biology,1,0.0,0.0,0.0,0.0,0.729582036128396,0.944,0.8153492216770376,0.4773402077197631,0.8835567536669059,0.6601376533959774
horizontal gene transfer,sxtA1,PHRASE_GENE_MECHANISM,GENE,GENE_MECHANISM_PHRASE_HYPOTHESIS,16,19.0,3.8951,2948,44,67,65.0,81.0,2.0,66.0301,Alexandrium minutum; Gymnodinium catenatum; amidinotransferase; biosynthesis; biosynthesis gene; conservation; evolution; gene cluster; genes involved; nitrogen; phylogeny; saxitoxin; saxitoxin and its derivatives; saxitoxin biosynthesis; sxtA; sxtG,ASSOCIATED_WITH;EVOLUTIONARY_LINK;INVOLVED_IN;PRESENT_IN;REGULATES,21.0,87.0301,Mechanistic biology,1,0.0,0.0,0.0,0.0,0.7167141409824076,0.962,0.8148284845894446,0.4773402077197631,0.8829901527672428,0.6598826829911291
temperature,sxtG,ENV_FACTOR,GENE,ENV_GENE_HYPOTHESIS,16,19.0,3.8812,7600,95,80,178.0,101.0,3.0,90.2624,Alexandrium fundyense; Alexandrium minutum; Alexandrium tamarense; Gymnodinium catenatum; Pyrodinium bahamense; biosynthesis; cellular toxin; cellular toxin content; paralytic shellfish toxin; paralytic shellfish toxins; saxitoxin; saxitoxin analogues; saxitoxin biosynthesis; toxin content; toxin production; toxin synthesis,ASSOCIATED_WITH;DECREASES;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN;REGULATES,22.5,112.7624,Environmental driver,1,0.0,0.0,0.0,0.0,0.7102983341026161,0.532,0.6389790004615696,0.6317516723913215,0.6916527614308828,0.6587071624591241
nitrogen,sxtA4,ENV_FACTOR,GENE,ENV_GENE_HYPOTHESIS,17,22.0,4.0192,4400,80,55,121.0,66.0,3.0,78.0384,Alexandrium fundyense; Alexandrium minutum; Alexandrium tamarense; Saxitoxin; biosynthesis; evolution; gene cluster; gene expression; genes involved; paralytic shellfish toxin; paralytic shellfish toxins; saxitoxin; sxtA; sxtA1; toxic algae; toxin content; toxin profile,ASSOCIATED_WITH;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN;REGULATES,22.5,100.5384,Environmental driver,1,0.0,0.0,0.0,0.0,0.7300555221169747,0.692,0.7148333132701847,0.5583992808777324,0.7741879272654238,0.6555041717521936
Alexandrium tamarense,evolution,SPECIES,EVOLUTIONARY_PROCESS,SPECIES_EVOLUTION_HYPOTHESIS,18,29.0,4.4571,4899,69,71,161.0,101.0,1.5,85.4091,Evolution; STX biosynthesis; biosynthesis; gene cluster; homologs; involved in stx biosynthesis; neurotoxin saxitoxin; nitrogen; phylogeny; psp toxin profile; saxitoxin; saxitoxin synthesis; stx biosynthesis; sxtA; sxtA4; sxtG; toxin production; toxin profile,ASSOCIATED_WITH;DECREASES;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN,22.5,107.9091,Evolutionary mechanism,0,0.0,0.0,0.0,0.0,0.7043700461345376,0.602,0.6634220276807226,0.6026285407050566,0.7182486032536284,0.6546575688519138
saxitoxin,Nitrate,TOXIN,ENV_FACTOR,ENV_TOXIN_HYPOTHESIS,14,20.0,3.7328,4035,269,15,689.0,22.0,1.0,66.6406,Alexandrium tamarense; cellular toxin; cellular toxin content; growth and toxin; growth and toxin production; nitrate; nitrate and phosphate; phosphate; toxin composition; toxin content; toxin contents; toxin production; toxin profile; toxins have,ASSOCIATED_WITH;DECREASES;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN;REGULATES,19.5,86.1406,Environmental driver,1,0.0,0.0,0.0,0.0,0.8633572293507926,0.7285279036301094,0.8094254990625194,0.4720025970971079,0.877111300399395,0.6543015135831372
sxtA,Toxin content,GENE,TOXIN,GENE_TOXIN_HYPOTHESIS,12,17.0,2.9787,6136,118,52,191.0,85.0,2.0,71.1375,Alexandrium catenella; Alexandrium fundyense; Alexandrium tamarense; Pyrodinium bahamense; biosynthesis; cellular toxin; cellular toxin content; paralytic shellfish toxin; saxitoxin biosynthesis; toxin content; toxin production; toxin synthesis,ASSOCIATED_WITH;DECREASES;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN;REGULATES,20.5,91.6375,Gene-toxin biology,1,0.0,0.0,0.0,0.0,0.7379471456978992,0.824,0.7723682874187395,0.5049877706009567,0.8367902824488153,0.6542989009324931
biosynthesis,saxitoxin production,BIOLOGICAL_MECHANISM,PHRASE_TOXIN_PHENOTYPE,MECHANISM_TOXIN_PHENOTYPE_HYPOTHESIS,20,23.0,5.1464,5375,125,43,193.0,46.0,1.5,90.1679,Alexandrium tamarense; Evolution; STX-producing; Saxitoxin; genes involved; homologs; involved in stx; paralytic shellfish toxins; saxitoxin; saxitoxin producing; saxitoxin synthesis; secondary metabolites; stx genes; stx-producing dinoflagellates; sxtA; sxtG; sxta and sxtg; toxic species; toxin production; toxin synthesis,ABSENT_IN;ASSOCIATED_WITH;DECREASES;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN;REGULATES,20.5,110.6679,Mechanistic biology,1,0.0,0.0,0.0,0.0,0.6192316521556158,0.67,0.6395389912933696,0.6191832345620338,0.6922620733402141,0.652068712012215
