edge_key,source,target,source_type,target_type,post2015_relation,dino_post_weight,cyano_prior_weight,dino_pre_prior_weight,in_cyano_prior,in_dino_pre_prior,transfer_type,transfer_support_score
saxitoxin_biosynthesis||sxtu,sxtu,saxitoxin_biosynthesis,SXT_GENE,BIOLOGICAL_PROCESS,gene_associated_with_process,3,3.0,1.0,1,1,cyano_and_dino_prior_signal,4.0
biosynthesis||climate,climate,biosynthesis,ENV_FACTOR,BIOLOGICAL_PROCESS,environment_associated_with_process,3,3.0,1.0,1,1,cyano_and_dino_prior_signal,4.0
pyrodinium||sxt_genes,sxt_genes,pyrodinium,SXT_GENE,DINO_TAXON,taxon_associated_with_gene,3,2.0,2.0,1,1,cyano_and_dino_prior_signal,4.0
nutrient||saxitoxin_biosynthesis,nutrient,saxitoxin_biosynthesis,ENV_FACTOR,BIOLOGICAL_PROCESS,environment_associated_with_process,3,2.0,2.0,1,1,cyano_and_dino_prior_signal,4.0
sxt_genes||temperature,sxt_genes,temperature,SXT_GENE,ENV_FACTOR,semantic_cooccurrence,3,4.0,0.0,1,0,cyano_only_prior_signal,4.0
saxitoxin_biosynthesis||temperature,temperature,saxitoxin_biosynthesis,ENV_FACTOR,BIOLOGICAL_PROCESS,environment_associated_with_process,2,1.0,3.0,1,1,cyano_and_dino_prior_signal,4.0
gymnodinium||sxtg,sxtg,gymnodinium,SXT_GENE,DINO_TAXON,taxon_associated_with_gene,2,2.0,2.0,1,1,cyano_and_dino_prior_signal,4.0
harmful_algal_bloom||sxt_genes,sxt_genes,harmful_algal_bloom,SXT_GENE,ENV_FACTOR,semantic_cooccurrence,2,4.0,0.0,1,0,cyano_only_prior_signal,4.0
horizontal_gene_transfer||toxin_biosynthesis,toxin_biosynthesis,horizontal_gene_transfer,BIOLOGICAL_PROCESS,BIOLOGICAL_PROCESS,semantic_cooccurrence,2,3.0,1.0,1,1,cyano_and_dino_prior_signal,4.0
saxitoxin_biosynthesis||toxicity,saxitoxin_biosynthesis,toxicity,BIOLOGICAL_PROCESS,BIOLOGICAL_PROCESS,semantic_cooccurrence,2,1.0,3.0,1,1,cyano_and_dino_prior_signal,4.0
nutrient||sxtg,sxtg,nutrient,SXT_GENE,ENV_FACTOR,semantic_cooccurrence,2,2.0,2.0,1,1,cyano_and_dino_prior_signal,4.0
biosynthesis||mouse_bioassay,biosynthesis,mouse_bioassay,BIOLOGICAL_PROCESS,DETECTION_METHOD,semantic_cooccurrence,1,3.0,1.0,1,1,cyano_and_dino_prior_signal,4.0
sxtb||toxin_production,sxtb,toxin_production,SXT_GENE,BIOLOGICAL_PROCESS,gene_associated_with_process,1,3.0,1.0,1,1,cyano_and_dino_prior_signal,4.0
biosynthesis||gonyautoxin,gonyautoxin,biosynthesis,TOXIN,BIOLOGICAL_PROCESS,process_associated_with_toxin,1,2.0,2.0,1,1,cyano_and_dino_prior_signal,4.0
phylogeny||sxti,sxti,phylogeny,SXT_GENE,BIOLOGICAL_PROCESS,gene_associated_with_process,1,3.0,1.0,1,1,cyano_and_dino_prior_signal,4.0
aphanizomenon||saxitoxin_biosynthesis,aphanizomenon,saxitoxin_biosynthesis,CYANO_TAXON,BIOLOGICAL_PROCESS,taxon_associated_with_process,1,4.0,0.0,1,0,cyano_only_prior_signal,4.0
