edge_key,source,target,source_type,target_type,post2015_relation,dino_post_weight,cyano_prior_weight,dino_pre_prior_weight,in_cyano_prior,in_dino_pre_prior,transfer_type,transfer_support_score
cylindrospermopsis||dinoflagellates,dinoflagellates,cylindrospermopsis,DINO_TAXON,CYANO_TAXON,semantic_cooccurrence,3,8.0,5.0,1,1,cyano_and_dino_prior_signal,13.0
alexandrium_fundyense||toxicity,alexandrium_fundyense,toxicity,DINO_TAXON,BIOLOGICAL_PROCESS,taxon_associated_with_process,2,0.0,13.0,0,1,dino_prior_only_signal,13.0
cyanobacterium||dolichospermum,cyanobacterium,dolichospermum,CYANO_TAXON,CYANO_TAXON,semantic_cooccurrence,2,13.0,0.0,1,0,cyano_only_prior_signal,13.0
cyanobacterial||saxitoxin_biosynthesis,cyanobacterial,saxitoxin_biosynthesis,CYANO_TAXON,BIOLOGICAL_PROCESS,taxon_associated_with_process,2,9.0,4.0,1,1,cyano_and_dino_prior_signal,13.0
biosynthesis||dolichospermum,dolichospermum,biosynthesis,CYANO_TAXON,BIOLOGICAL_PROCESS,taxon_associated_with_process,1,13.0,0.0,1,0,cyano_only_prior_signal,13.0
cyanobacterial||sxt_genes,sxt_genes,cyanobacterial,SXT_GENE,CYANO_TAXON,taxon_associated_with_gene,1,11.0,2.0,1,1,cyano_and_dino_prior_signal,13.0
bloom||dolichospermum,dolichospermum,bloom,CYANO_TAXON,ENV_FACTOR,semantic_cooccurrence,1,13.0,0.0,1,0,cyano_only_prior_signal,13.0
dinoflagellates||temperature,dinoflagellates,temperature,DINO_TAXON,ENV_FACTOR,semantic_cooccurrence,16,3.0,9.0,1,1,cyano_and_dino_prior_signal,12.0
alexandrium||transcriptomic,alexandrium,transcriptomic,DINO_TAXON,BIOLOGICAL_PROCESS,taxon_associated_with_process,16,7.0,5.0,1,1,cyano_and_dino_prior_signal,12.0
paralytic_shellfish_poisoning||temperature,paralytic_shellfish_poisoning,temperature,TOXIN,ENV_FACTOR,environment_associated_with_toxin,14,5.0,7.0,1,1,cyano_and_dino_prior_signal,12.0
alexandrium_minutum||expression,alexandrium_minutum,expression,DINO_TAXON,BIOLOGICAL_PROCESS,taxon_associated_with_process,12,6.0,6.0,1,1,cyano_and_dino_prior_signal,12.0
bloom||temperature,temperature,bloom,ENV_FACTOR,ENV_FACTOR,semantic_cooccurrence,11,6.0,6.0,1,1,cyano_and_dino_prior_signal,12.0
pyrodinium||toxicity,pyrodinium,toxicity,DINO_TAXON,BIOLOGICAL_PROCESS,taxon_associated_with_process,10,3.0,9.0,1,1,cyano_and_dino_prior_signal,12.0
