Source,Target,Score,Common_Neighbors,Weighted_Common_Neighbors,Adamic_Adar,Preferential_Attachment,Bio_Bonus,Bridge_Nodes,Match
growth and toxin,other saxitoxin derivatives,80.410042902334,11,48.0,2.342892716289354,864,12,alexandrium;alexandrium tamarense;gonyautoxins;paralytic shellfish poisoning;paralytic shellfish toxins;salinity;saxitoxin;temperature;toxin composition;toxin content;toxin profile,0
sxtg,strain of alexandrium,80.40358315234732,8,32.0,1.7826164941986602,450,20,alexandrium;cellular toxin;dinoflagellates;nitrogen;phosphorus;saxitoxin;sxta;toxin production,0
gonyautoxins,biosynthesis genes,80.3852787477762,7,61.0,1.4441285610118526,1218,14,alexandrium;alexandrium catenella;biosynthesis;dinoflagellates;genus alexandrium;paralytic shellfish poisoning;saxitoxin,0
biosynthesis,toxin profiles and toxin,80.38468416696493,10,28.0,2.160377507300648,2457,18,alexandrium;alexandrium catenella;alexandrium tamarense;genus alexandrium;gonyautoxins;paralytic shellfish toxins;saxitoxin;temperature;toxin composition;toxin content,0
biosynthesis,total toxins,80.38468416696493,10,32.0,2.160377507300648,2457,17,alexandrium;alexandrium catenella;alexandrium tamarense;genus alexandrium;gonyautoxins;paralytic shellfish toxins;saxitoxin;temperature;toxin composition;toxin content,0
sulfocarbamoyl toxins,growth and toxin,80.36187255289454,11,56.0,2.3315255743026873,840,10,alexandrium;alexandrium tamarense;dcstx;dinoflagellates;gonyautoxins;paralytic shellfish poisoning;paralytic shellfish toxins;saxitoxin;temperature;toxin composition;toxin profile,0
genes involved,non-toxic species,80.3248356219471,13,43.0,3.216464254529907,572,10,cyanobacteria;dinoflagellates;homologs;paralytic shellfish poisoning;saxitoxin;sxt genes;sxta;sxta and sxtg;sxtb;sxtg;toxic cyanobacteria;toxic species;toxin production,0
toxic dinoflagellate,pst biosynthesis,80.32365369484002,7,46.0,1.3923146851389245,540,18,alexandrium;dinoflagellates;paralytic shellfish toxins;saxitoxin;sxta;toxin content;toxin production,0
saxitoxin synthesis,species of cyanobacteria,80.3188605041538,8,23.0,2.0361976681725555,225,22,biosynthesis;cyanobacteria;dinoflagellates;evolution;gene transfer;horizontal gene;horizontal gene transfer;saxitoxin,0
toxic species,saxitoxin production,80.31714951699196,11,47.0,2.485679813141437,828,12,alexandrium;dinoflagellates;homologs;paralytic shellfish poisoning;paralytic shellfish toxins;saxitoxin;sxt genes;sxta;sxtb;sxtg;toxin production,0
toxin composition,biosynthesis genes,80.31113436847403,7,61.0,1.4441285610118526,1050,14,alexandrium;alexandrium catenella;biosynthesis;dinoflagellates;genus alexandrium;paralytic shellfish poisoning;saxitoxin,0
genus alexandrium,sxtb,80.2913113140374,10,55.0,2.3737392987924473,1540,11,dinoflagellates;paralytic shellfish poisoning;producing dinoflagellates;saxitoxin;saxitoxin production;stx-producing;sxt genes;sxta;sxtg;toxin production,0
biosynthesis gene,strain of alexandrium,80.19183540099002,6,24.0,1.224453033261066,153,25,alexandrium;dinoflagellates;nitrogen;saxitoxin;sxta;toxin production,0
temperature,horizontal gene,80.18836079105543,8,43.0,1.6634999955847993,1628,17,alexandrium;biosynthesis;dinoflagellates;gymnodinium;gymnodinium catenatum;paralytic shellfish poisoning;saxitoxin;saxitoxin biosynthesis,0
salinity,phosphorus limitation,80.16999555247943,9,54.0,1.8922374409254037,1081,13,alexandrium;dinoflagellates;gonyautoxins;nitrogen;saxitoxin;toxin composition;toxin content;toxin production;toxin profile,0
gymnodinium catenatum,produce saxitoxin,80.15843716606004,9,38.0,1.9166897419208528,912,17,alexandrium;alexandrium catenella;biosynthesis;cyanobacteria;dinoflagellates;paralytic shellfish poisoning;saxitoxin;sxt genes;sxta,0
sxtg,non-toxic strains,80.14508709801456,11,30.0,2.6630732311460354,550,16,dinoflagellates;evolution;homologs;paralytic shellfish poisoning;producing dinoflagellates;saxitoxin;saxitoxin production;stx-producing;sxta;toxin production;toxin synthesis,0
horizontal gene transfer,saxitoxin and its analogues,80.13089603664959,6,32.0,1.203061159396654,154,23,alexandrium;biosynthesis;dinoflagellates;paralytic shellfish poisoning;saxitoxin;saxitoxin biosynthesis,0
alexandrium fundyense,gene copy number,80.1243649212499,8,72.0,1.6045540317892786,750,10,alexandrium;alexandrium minutum;dinoflagellates;paralytic shellfish poisoning;paralytic shellfish toxins;saxitoxin;sxta;toxin content,0
horizontal gene transfer,environmental conditions,80.1139486827566,6,35.0,1.189808748344392,440,22,alexandrium;biosynthesis;cyanobacteria;dinoflagellates;paralytic shellfish poisoning;saxitoxin,0
horizontal gene transfer,neosaxitoxin,80.11195072347635,8,43.0,1.7883579345168372,660,17,alexandrium;dinoflagellates;gymnodinium;gymnodinium catenatum;paralytic shellfish poisoning;phylogeny;saxitoxin;toxin analogues,0
biosynthesis gene,freshwater cyanobacteria,80.07686835461448,9,43.0,1.8869757053242415,340,16,alexandrium;biosynthesis;cyanobacteria;dinoflagellates;genes involved;paralytic shellfish poisoning;saxitoxin;sxta;toxin production,0
saxitoxin biosynthesis,saxitoxin-producing dinoflagellates,80.07264173564266,9,33.0,1.9653669251283141,1560,18,alexandrium;alexandrium fundyense;cyanobacteria;dinoflagellates;phosphorus;producing dinoflagellates;saxitoxin;toxin content;toxin production,0
alexandrium ostenfeldii,dominant toxins,80.00790709219879,11,51.0,2.2944331878805344,1406,11,alexandrium;dinoflagellates;gonyautoxins;paralytic shellfish poisoning;paralytic shellfish toxins;producing dinoflagellates;saxitoxin;strains of alexandrium;toxin content;toxin production;toxin profile,0
toxin content and composition,growth and toxin production,79.99517175947508,11,39.0,2.3926183601814115,760,14,alexandrium;alexandrium tamarense;gonyautoxins;nitrogen;paralytic shellfish toxins;salinity;saxitoxin;temperature;toxin composition;toxin content;toxin profile,0
origin of saxitoxin,species of cyanobacteria,79.9939353167505,8,23.0,2.0361976681725555,117,22,biosynthesis;cyanobacteria;dinoflagellates;evolution;gene transfer;horizontal gene;horizontal gene transfer;saxitoxin,0
pyrodinium bahamense,biosynthetic pathway,79.99116262872096,7,29.0,1.48449653772554,434,22,biosynthesis;dinoflagellates;evolution;paralytic shellfish poisoning;saxitoxin;saxitoxin biosynthesis;sxta,0
alexandrium pacificum,phylogenetic analysis,79.97322568073884,8,48.0,1.6122623924885824,529,16,alexandrium;alexandrium tamarense;biosynthesis;dinoflagellates;paralytic shellfish poisoning;paralytic shellfish toxins;saxitoxin;saxitoxin biosynthesis,0
evolution,toxin accumulation,79.96860981767097,7,49.0,1.3655267415050958,848,17,alexandrium;dinoflagellates;paralytic shellfish poisoning;paralytic shellfish toxins;saxitoxin;toxin production;toxin profile,0
phosphorus,pst content,79.9254148249355,9,50.0,1.8646161589800365,782,14,alexandrium;alexandrium tamarense;dinoflagellates;paralytic shellfish poisoning;paralytic shellfish toxins;strains of alexandrium;sxta;toxin content;toxin profile,0
toxic dinoflagellate,horizontal gene transfer,79.90131371200265,7,52.0,1.4839854816125524,990,16,alexandrium;cyanobacteria;dinoflagellates;paralytic shellfish poisoning;saxitoxin;sxta;toxin analogues,0
toxin production,fed with the toxic,79.89133105191914,12,48.0,2.6887489004988803,2100,10,alexandrium;alexandrium catenella;alexandrium tamarense;dinoflagellates;gonyautoxins;paralytic shellfish poisoning;paralytic shellfish toxins;saxitoxin;toxic dinoflagellate;toxin accumulation;toxin composition;toxin profile,0
biosynthesis,distinct toxin,79.88468416696493,10,31.0,2.160377507300648,2457,17,alexandrium;alexandrium catenella;alexandrium tamarense;genus alexandrium;gonyautoxins;paralytic shellfish toxins;saxitoxin;temperature;toxin composition;toxin content,0
phylogenetic analysis,gene cluster,79.85753870596486,10,37.0,2.0598282918723054,575,16,alexandrium;biosynthesis;cyanobacteria;dinoflagellates;gonyautoxins;paralytic shellfish poisoning;paralytic shellfish toxins;producing dinoflagellates;saxitoxin;toxin content,0
toxin production,profiles and toxin,79.85174596228613,12,36.0,2.6336857617966096,2700,13,alexandrium;alexandrium catenella;alexandrium tamarense;genus alexandrium;gonyautoxins;paralytic shellfish toxins;salinity;saxitoxin;temperature;toxin composition;toxin content;toxin profile,0
toxin production,toxin profiles and toxin,79.85174596228613,12,36.0,2.6336857617966096,2700,13,alexandrium;alexandrium catenella;alexandrium tamarense;genus alexandrium;gonyautoxins;paralytic shellfish toxins;salinity;saxitoxin;temperature;toxin composition;toxin content;toxin profile,0
