Source,Target,Score,Common_Neighbors,Weighted_Common_Neighbors,Adamic_Adar,Preferential_Attachment,Bio_Bonus,Bridge_Nodes,Match
sxta,phylogenetic analysis,130.52410602778033,15,69.0,3.379594470238584,2369,26,alexandrium;alexandrium tamarense;biosynthesis;biosynthesis gene;cyanobacteria;dinoflagellates;genus alexandrium;paralytic shellfish poisoning;paralytic shellfish toxins;phylogeny;producing dinoflagellates;saxitoxin;saxitoxin biosynthesis;toxin content;toxin profile,1
toxin profile,gene expression,130.08763923733233,10,148.0,2.066947334550735,2376,13,alexandrium;alexandrium catenella;alexandrium minutum;dinoflagellates;paralytic shellfish poisoning;paralytic shellfish toxins;saxitoxin;sxta;toxin content;toxin production,1
sxt genes,biosynthesis genes,129.95710219652472,10,104.0,2.2520478660537124,602,24,alexandrium;biosynthesis;clade;dinoflagellates;evolution;genus alexandrium;paralytic shellfish poisoning;saxitoxin;saxitoxin biosynthesis;sxta,1
cyanobacteria,biosynthesis genes,129.48333209106636,10,107.0,2.1513176716023494,1162,23,alexandrium;alexandrium catenella;biosynthesis;dinoflagellates;evolution;genus alexandrium;paralytic shellfish poisoning;saxitoxin;saxitoxin biosynthesis;sxta,1
paralytic shellfish toxins,clade,127.94949481502503,14,73.0,3.137753710115883,3204,25,alexandrium;alexandrium fundyense;biosynthesis;dinoflagellates;evolution;genus alexandrium;gymnodinium;gymnodinium catenatum;paralytic shellfish poisoning;producing dinoflagellates;pyrodinium;saxitoxin;saxitoxin biosynthesis;sxta,1
biosynthesis,neostx,126.75408352133617,14,99.0,3.0736075920337247,3185,18,alexandrium;alexandrium catenella;alexandrium tamarense;dinoflagellates;genus alexandrium;gonyautoxins;nitrogen;paralytic shellfish poisoning;paralytic shellfish toxins;saxitoxin;temperature;toxin analogues;toxin composition;toxin content,1
sxt genes,horizontal gene,125.79343902613,14,61.0,3.2889298265123195,946,27,alexandrium;biosynthesis;cyanobacteria;dinoflagellates;evolution;gymnodinium;gymnodinium catenatum;origin of saxitoxin;paralytic shellfish poisoning;phylogeny;saxitoxin;saxitoxin biosynthesis;sxta;sxtg,1
alexandrium catenella,environmental conditions,125.63233400962817,14,90.0,3.0317585338431594,1180,20,alexandrium;biosynthesis;cyanobacteria;dinoflagellates;gonyautoxins;nitrogen;paralytic shellfish poisoning;paralytic shellfish toxins;salinity;saxitoxin;temperature;toxic dinoflagellate;toxin production;toxin profile,1
biosynthesis,sxtb,125.42005113555176,15,93.0,3.706283489239614,2002,17,dinoflagellates;genes involved;homologs;involved in stx;paralytic shellfish poisoning;producing dinoflagellates;saxitoxin;stx-producing;sxt genes;sxta;sxta and sxtg;sxtg;toxic species;toxin production;toxin synthesis,1
producing dinoflagellate,biosynthesis gene,125.37575812818812,11,82.0,2.379861660312557,646,26,alexandrium;alexandrium minutum;biosynthesis;cyanobacteria;dinoflagellates;nitrogen;paralytic shellfish poisoning;saxitoxin;saxitoxin biosynthesis;sxta;sxtg,1
